"Tanggal","temp_avg","hum_avg","wind_avg","rainfall","sunshine"
"27-11-2014","26.9","82","3","3.1","4.6"
"28-11-2014","27.1","81","2","40.4","5.4"
"29-11-2014","25.9","85","2","0.1","4.8"
"30-11-2014","26.8","74","3","20.5","0.2"
"01-12-2014","27.5","74","4","0","2.5"
"02-12-2014","26.2","78","4","0","0.3"
"03-12-2014","25.1","88","2","0","1.4"
"04-12-2014","25.6","86","2","1","2.6"
"05-12-2014","25.6","87","2","0.1","1.1"
"06-12-2014","25.2","89","2","2.6","2.9"
"07-12-2014","25.4","82","2","5.4","2.7"
"08-12-2014","27","78","3","0","3.8"
"09-12-2014","26.4","80","2","0","3"
"10-12-2014","26.8","76","3","0","7.7"
"11-12-2014","27.1","76","3","8888","6.1"
"12-12-2014","25.3","86","2","3","1"
"13-12-2014","25.8","87","2","0.3","0.2"
"14-12-2014","26.6","78","2","0","7"
"15-12-2014","26.5","82","3","0","4.1"
"16-12-2014","27.8","77","2","0","5.3"
"17-12-2014","27.6","78","3","0","4.2"
"18-12-2014","27","82","2","1.3","6.5"
"19-12-2014","26.9","82","2","21","6.2"
"20-12-2014","26.5","84","3","7.4","4.7"
"21-12-2014","27","81","2","0.2","5.9"
"22-12-2014","25.8","88","3","1.4","5.3"
"23-12-2014","26.6","82","3","46.7","6"
"24-12-2014","26.7","81","2","0.2","7"
"25-12-2014","26.1","86","2","4","7"
"26-12-2014","26.1","87","2","14.4","1.6"
"27-12-2014","25","93","2","74.6","0"
"28-12-2014","26.2","78","2","12.8","0"
"29-12-2014","26.6","81","2","3.1","3.3"
"30-12-2014","27.1","77","2","0","1.7"
"31-12-2014","24.4","91","3","0.5","1.1"
"01-01-2015","24.1","94","1","20.8",""
"02-01-2015","","","4","5.1",""
"03-01-2015","24.7","91","3","1.8","2"
"04-01-2015","24.7","88","3","23.7","0.7"
"05-01-2015","26","86","2","21.1","0"
"06-01-2015","","","2","0.4","4.9"
"07-01-2015","26.1","80","3","0.9","3.8"
"08-01-2015","26.3","82","2","",""
"09-01-2015","27.2","76","3","",""
"10-01-2015","26.7","78","3","","7.5"
"11-01-2015","","","","",""
"12-01-2015","24","93","1","8888","11.2"
"13-01-2015","25.5","88","1","10.1",""
"14-01-2015","26.1","86","2","10.3",""
"15-01-2015","25.9","83","2","0.4",""
"16-01-2015","25.2","87","2","7.5","3.1"
"17-01-2015","","","1","7.9","6.4"
"18-01-2015","25.3","88","2","3.8","1.1"
"19-01-2015","24.1","93","0","0.4","0.9"
"20-01-2015","24.3","90","2","23.6",""
"21-01-2015","","","3","6.7","4.4"
"22-01-2015","24.7","93","2","13.8","1.9"
"23-01-2015","24.5","91","1","15.3","0.9"
"24-01-2015","25.2","87","2","1.1","0.7"
"25-01-2015","24.5","93","2","4","5"
"26-01-2015","","","","",""
"27-01-2015","25","92","1","1","5.1"
"28-01-2015","","","3","0.3","0.5"
"29-01-2015","","","2","9.8","6.3"
"30-01-2015","","","","",""
"31-01-2015","24.5","93","2","8","3.9"
"01-02-2015","23.3","97","1","17.8","3.7"
"02-02-2015","25.4","87","2","47.7","0.4"
"03-02-2015","25.3","90","2","3.8","4.5"
"04-02-2015","25.3","89","2","","0.8"
"05-02-2015","25.4","88","2","43.2","1.7"
"06-02-2015","24.3","92","2","21","3.4"
"07-02-2015","25.4","89","1","27.8","4.7"
"08-02-2015","24","93","2","1.7","5.4"
"09-02-2015","22.9","99","1","16.9","0.7"
"10-02-2015","24.5","92","1","88.8","0"
"11-02-2015","23.7","91","1","1","1.7"
"12-02-2015","24.4","90","1","0","0"
"13-02-2015","23.7","94","2","","4.7"
"14-02-2015","26","85","2","14.1","3"
"15-02-2015","24.8","90","1","","7.9"
"16-02-2015","25.2","90","1","1.1","3.3"
"17-02-2015","25.1","92","2","1.4","3.8"
"18-02-2015","24.6","91","2","1","0.6"
"19-02-2015","23.7","94","1","39.5","4.8"
"20-02-2015","25.1","88","1","1.1","0"
"21-02-2015","26.4","75","1","0","1.8"
"22-02-2015","25.5","75","1","","5.4"
"23-02-2015","24.7","84","2","","10.6"
